"","p","q","p_value"
"1",1.07249886470722,0.93788637041599,1
"2",1.07813364594166,0.939487622835774,1
"3",1.07965538908581,0.935877161483083,1
"4",1.08532400504491,0.939581954918821,1
"5",1.07748932528361,0.939255277551417,1
"6",1.07503900259576,0.934967883183308,1
"7",1.08320464366631,0.948995506768693,1
"8",1.07342304989092,0.9409956322251,1
"9",1.07435409970576,0.941143117864325,1
"10",1.08302653280286,0.940421098057134,1
"11",1.07247570500342,0.941326424530674,1
"12",1.07711993098637,0.944265201243903,1
"13",1.0736982879547,0.941573539005045,1
"14",1.07774465380649,0.945204779443575,1
"15",1.08061772739936,0.943422173509962,1
"16",1.08692751677671,0.945600887033734,1
"17",1.07595203948746,0.939346430871344,1
"18",1.07746951146509,0.940598995090035,1
"19",1.08223951615493,0.942856080018475,1
"20",1.06895753357609,0.941628621157501,1
"21",1.08819439385188,0.95068915425362,1
"22",1.07456120114336,0.93577394324321,1
"23",1.07424709140536,0.940055860917828,1
"24",1.07658736603101,0.936467686099138,1
"25",1.08411977664313,0.944371437749478,1
"26",1.08264960685252,0.94091124539733,1
"27",1.08696562504382,0.943402705038732,1
"28",1.07830052182011,0.93972557320754,1
"29",1.08671903687086,0.946453757691837,1
"30",1.07394586210329,0.945605832821577,1
"31",1.08735578420514,0.942580620986733,1
"32",1.07782507128913,0.944867971705701,1
"33",1.0848204785678,0.947063218680445,1
"34",1.07480305013076,0.936853277639511,1
"35",1.08204630853208,0.940054722843828,1
"36",1.08458631588938,0.94420236134922,1
"37",1.08025785136097,0.939896561513737,1
"38",1.08040451220802,0.937924650160939,1
"39",1.07884243582874,0.942614561661367,1
"40",1.07542168363008,0.933018673668342,1
"41",1.0894526114095,0.944681732425442,1
"42",1.08098808841225,0.941839748361,1
"43",1.07900658863513,0.94574012507913,1
"44",1.08411681469611,0.94322820803495,1
"45",1.07472199254614,0.941810526126205,1
"46",1.07850993653315,0.941625716628131,1
"47",1.07667260408025,0.938508128488667,1
"48",1.0786925459636,0.939329322722327,1
"49",1.07744018633696,0.94194028620855,1
"50",1.07541857043594,0.935314392763267,1
"51",1.07700997156294,0.939445864770588,1
"52",1.09043338619154,0.951949336431104,1
"53",1.08040270617265,0.947098252494639,1
"54",1.08310417807072,0.941680901816748,1
"55",1.07943536839571,0.944118851195409,1
"56",1.07937320857201,0.942704970789269,1
"57",1.07787363903297,0.944714313308722,1
"58",1.07064327599331,0.940250949187845,1
"59",1.08412619415306,0.947165889224176,1
"60",1.08089975996533,0.942030638102047,1
"61",1.07884387788703,0.940167190319524,1
"62",1.07957849226381,0.942694186970932,1
"63",1.08510199642552,0.947899685033711,1
"64",1.07490699210954,0.941720048996589,1
"65",1.0856259283979,0.941385739128758,1
"66",1.08232914704159,0.944269572405928,1
"67",1.08066614806497,0.943324902284078,1
"68",1.08545903253609,0.941855134308373,1
"69",1.07374088633236,0.941580631211879,1
"70",1.07231598088233,0.946227448336739,1
"71",1.07408674357199,0.9442715164477,1
"72",1.0808377856705,0.944793845625113,1
"73",1.0753319112057,0.934965028892229,1
"74",1.07517246017945,0.940539400310652,1
"75",1.08618218808132,0.946081794309333,1
"76",1.07593801214613,0.938661295445546,1
"77",1.06901074735701,0.940823066112278,1
"78",1.082771556485,0.941842471343431,1
"79",1.07522445548302,0.942897065410722,1
"80",1.07703109987753,0.942234922611321,1
"81",1.07088144489879,0.936259781204783,1
"82",1.08341865834484,0.938366508225111,1
"83",1.08145989964144,0.939763841049082,1
"84",1.07944370114962,0.938910641158744,1
"85",1.07719426687355,0.941556905779822,1
"86",1.08157006179723,0.940177528424843,1
"87",1.0767902079451,0.942510292456083,1
"88",1.07330152740071,0.934980805552142,1
"89",1.08574766002723,0.944272409779424,1
"90",1.07502635142122,0.940632466073259,1
"91",1.07635322756883,0.940400514383994,1
"92",1.07958631283707,0.947868494113708,1
"93",1.0697972203235,0.940099935558435,1
"94",1.07884537964249,0.938865103357217,1
"95",1.07397843725104,0.937175402300455,1
"96",1.07664413412069,0.944350359200685,1
"97",1.08339741917661,0.946457441034405,1
"98",1.07735512730719,0.94807989322861,1
"99",1.0847214869383,0.943912382694576,1
"100",1.07456258231491,0.943549613957618,1
